Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
AACG,93.80M,0.16%,8.74M,28.85M
AAL,13.80B,12.74%,636.29M,641.38M
AAME,89.38M,9.67%,4.04M,20.41M
AAOI,225.61M,17.83%,25.50M,26.44M
AAPL,2290.71B,0.65%,16.68B,16.75B
AAWW,1.98B,10.93%,27.10M,28.49M
AAXJ,-,-,-,-
ABCB,3.58B,2.74%,65.91M,69.39M
ABCL,5.57B,3.91%,181.88M,269.70M
ABCM,4.34B,0.07%,187.47M,226.75M
ABEO,153.50M,7.41%,83.86M,94.23M
ABGI,189.73M,0.05%,11.34M,18.79M
ABIO,49.69M,1.67%,14.35M,14.41M
ABNB,93.12B,7.37%,182.89M,600.96M
ABOS,750.06M,-,0.42M,36.99M
ABUS,301.70M,4.63%,77.39M,93.43M
ACAD,3.97B,3.78%,158.13M,160.01M
ACAHU,-,-,-,-
ACB,1.71B,16.67%,197.48M,197.98M
ACCD,3.18B,6.69%,49.77M,66.04M
ACER,40.90M,0.40%,12.12M,14.14M
ACET,308.62M,3.73%,12.24M,26.10M
ACEV,286.43M,2.98%,23.00M,28.75M
ACEVU,-,0.01%,22.61M,-
ACGL,16.12B,1.48%,392.32M,400.81M
ACGLN,-,0.00%,356.32M,-
ACHC,5.70B,3.78%,88.35M,89.74M
ACHL,403.42M,0.69%,39.87M,41.59M
ACHV,80.61M,5.22%,6.12M,6.13M
ACIU,575.38M,3.64%,35.33M,72.31M
ACIW,4.43B,2.27%,116.81M,117.49M
ACKIU,265.16M,-,-,18.17M
ACLS,1.34B,2.30%,32.92M,33.72M
ACMR,1.93B,7.75%,12.77M,18.79M
ACNB,254.07M,2.04%,8.39M,8.71M
ACOR,43.79M,8.53%,9.31M,9.47M
ACQRU,-,0.00%,49.19M,-
ACRS,1.04B,5.16%,48.58M,50.34M
ACRX,162.01M,13.47%,116.83M,119.10M
ACST,117.63M,1.53%,207.98M,208.38M
ACTDU,-,-,-,-
ACTG,318.30M,5.30%,47.41M,48.51M
ACVA,3.84B,6.07%,16.95M,154.53M
ACWI,-,-,-,-
ACWX,-,-,-,-
ACXP,55.82M,-,-,9.54M
ADAG,604.93M,0.36%,18.19M,44.22M
ADAP,676.28M,3.02%,126.69M,155.18M
ADBE,279.50B,1.03%,477.50M,478.00M
ADERU,-,-,-,-
ADES,138.02M,6.57%,15.05M,18.17M
ADI,62.40B,11.09%,367.64M,368.82M
ADIL,44.31M,4.14%,14.75M,15.91M
ADMA,203.79M,11.75%,104.02M,115.66M
ADMP,166.80M,5.78%,147.89M,148.89M
ADMS,253.41M,6.42%,33.03M,35.17M
ADN,455.83M,11.74%,26.82M,45.72M
ADOC,118.59M,0.03%,9.14M,11.80M
ADP,85.02B,1.20%,425.06M,425.80M
ADPT,5.59B,3.03%,138.11M,138.97M
ADSK,64.62B,0.82%,219.28M,219.60M
ADTN,1.00B,2.01%,47.88M,48.34M
ADTX,38.50M,4.30%,12.34M,13.83M
ADV,3.34B,5.98%,98.24M,317.60M
ADVM,352.59M,8.79%,97.14M,97.75M
ADXN,74.36M,0.15%,3.35M,7.26M
ADXS,69.60M,3.03%,145.57M,145.64M
AEACU,-,0.01%,23.00M,-
